SampleID	Tissue	curated_anno	EXTENDscores
BCC_GSE123813_aPD1@bcc_su001_post|12|0|4	Skin	CD8T	0.405252158
BCC_GSE123813_aPD1@bcc_su001_post|12|0|5	Skin	CD8T	0.241459751
BCC_GSE123813_aPD1@bcc_su001_post|12|0|6	Skin	CD8T	0.356906389
BCC_GSE123813_aPD1@bcc_su001_post|12|0|7	Skin	CD8T	0.402833048
BCC_GSE123813_aPD1@bcc_su001_post|12|0|8	Skin	CD8T	0.384060727
BCC_GSE123813_aPD1@bcc_su001_post|12|0|9	Skin	CD8T	0.210093562
BCC_GSE123813_aPD1@bcc_su001_post|15|0|1	Skin	DC	0.558025642
BCC_GSE123813_aPD1@bcc_su001_post|15|0|2	Skin	DC	0.620132444
BCC_GSE123813_aPD1@bcc_su001_post|15|1|1	Skin	DC	0.539824393
BCC_GSE123813_aPD1@bcc_su001_post|15|1|2	Skin	DC	0.348145338
BCC_GSE123813_aPD1@bcc_su001_post|16|0|1	Skin	DC	0.306439119
BCC_GSE123813_aPD1@bcc_su001_post|16|0|2	Skin	DC	0.638802857
BCC_GSE123813_aPD1@bcc_su001_post|16|1|1	Skin	DC	0.161151215
BCC_GSE123813_aPD1@bcc_su001_post|2|0	Skin	B	0.56642841
BCC_GSE123813_aPD1@bcc_su001_post|2|0|10	Skin	B	0.243714331
BCC_GSE123813_aPD1@bcc_su001_post|2|0|100	Skin	B	0.223298963
BCC_GSE123813_aPD1@bcc_su001_post|2|0|101	Skin	B	0.370797272
BCC_GSE123813_aPD1@bcc_su001_post|2|0|102	Skin	B	0.564239797
BCC_GSE123813_aPD1@bcc_su001_post|2|0|103	Skin	B	0.516668227
BCC_GSE123813_aPD1@bcc_su001_post|2|0|11	Skin	B	0.593148231
BCC_GSE123813_aPD1@bcc_su001_post|2|0|12	Skin	B	0.552404937
BCC_GSE123813_aPD1@bcc_su001_post|2|0|13	Skin	B	0.227078147
BCC_GSE123813_aPD1@bcc_su001_post|2|0|14	Skin	B	0.607108761
BCC_GSE123813_aPD1@bcc_su001_post|2|0|15	Skin	B	0.4082909
BCC_GSE123813_aPD1@bcc_su001_post|2|0|16	Skin	B	0.590269097
BCC_GSE123813_aPD1@bcc_su001_post|2|0|17	Skin	B	0.40496984
BCC_GSE123813_aPD1@bcc_su001_post|2|0|18	Skin	B	0.391467787
BCC_GSE123813_aPD1@bcc_su001_post|2|0|19	Skin	B	0.598382911
BCC_GSE123813_aPD1@bcc_su001_post|2|0|2	Skin	B	0.252814393
BCC_GSE123813_aPD1@bcc_su001_post|2|0|20	Skin	B	0.400125654
BCC_GSE123813_aPD1@bcc_su001_post|2|0|21	Skin	B	0.233570657
BCC_GSE123813_aPD1@bcc_su001_post|2|0|22	Skin	B	0.242615371
BCC_GSE123813_aPD1@bcc_su001_post|2|0|23	Skin	B	0.55481862
BCC_GSE123813_aPD1@bcc_su001_post|2|0|24	Skin	B	0.414356135
BCC_GSE123813_aPD1@bcc_su001_post|2|0|25	Skin	B	0.592096789
BCC_GSE123813_aPD1@bcc_su001_post|2|0|26	Skin	B	0.402133419
BCC_GSE123813_aPD1@bcc_su001_post|2|0|27	Skin	B	0.407019158
BCC_GSE123813_aPD1@bcc_su001_post|2|0|28	Skin	B	0.428335853
BCC_GSE123813_aPD1@bcc_su001_post|2|0|29	Skin	B	0.590353441
BCC_GSE123813_aPD1@bcc_su001_post|2|0|3	Skin	B	0.572785187
BCC_GSE123813_aPD1@bcc_su001_post|2|0|30	Skin	B	0.402296438
BCC_GSE123813_aPD1@bcc_su001_post|2|0|31	Skin	B	0.416863964
BCC_GSE123813_aPD1@bcc_su001_post|2|0|32	Skin	B	0.427430376
BCC_GSE123813_aPD1@bcc_su001_post|2|0|33	Skin	B	0.232119967
BCC_GSE123813_aPD1@bcc_su001_post|2|0|34	Skin	B	0.421436922
BCC_GSE123813_aPD1@bcc_su001_post|2|0|35	Skin	B	0.53044675
BCC_GSE123813_aPD1@bcc_su001_post|2|0|36	Skin	B	0.606776136
BCC_GSE123813_aPD1@bcc_su001_post|2|0|37	Skin	B	0.428052762
BCC_GSE123813_aPD1@bcc_su001_post|2|0|38	Skin	B	0.424207224
BCC_GSE123813_aPD1@bcc_su001_post|2|0|39	Skin	B	0.274633823
BCC_GSE123813_aPD1@bcc_su001_post|2|0|4	Skin	B	0.21581908
BCC_GSE123813_aPD1@bcc_su001_post|2|0|40	Skin	B	0.209791248
BCC_GSE123813_aPD1@bcc_su001_post|2|0|41	Skin	B	0.422294646
BCC_GSE123813_aPD1@bcc_su001_post|2|0|42	Skin	B	0.586955363
BCC_GSE123813_aPD1@bcc_su001_post|2|0|43	Skin	B	0.273827918
BCC_GSE123813_aPD1@bcc_su001_post|2|0|44	Skin	B	0.224735119
BCC_GSE123813_aPD1@bcc_su001_post|2|0|45	Skin	B	0.439819135
BCC_GSE123813_aPD1@bcc_su001_post|2|0|46	Skin	B	0.3889898
BCC_GSE123813_aPD1@bcc_su001_post|2|0|47	Skin	B	0.37569526
BCC_GSE123813_aPD1@bcc_su001_post|2|0|48	Skin	B	0.428446701
BCC_GSE123813_aPD1@bcc_su001_post|2|0|49	Skin	B	0.431484669
BCC_GSE123813_aPD1@bcc_su001_post|2|0|5	Skin	B	0.373533465
BCC_GSE123813_aPD1@bcc_su001_post|2|0|50	Skin	B	0.424856428
BCC_GSE123813_aPD1@bcc_su001_post|2|0|51	Skin	B	0.266648919
BCC_GSE123813_aPD1@bcc_su001_post|2|0|52	Skin	B	0.384106699
BCC_GSE123813_aPD1@bcc_su001_post|2|0|53	Skin	B	0.558705358
BCC_GSE123813_aPD1@bcc_su001_post|2|0|54	Skin	B	0.233183692
BCC_GSE123813_aPD1@bcc_su001_post|2|0|55	Skin	B	0.54409512
BCC_GSE123813_aPD1@bcc_su001_post|2|0|56	Skin	B	0.71642633
BCC_GSE123813_aPD1@bcc_su001_post|2|0|57	Skin	B	0.259500653
BCC_GSE123813_aPD1@bcc_su001_post|2|0|58	Skin	B	0.274810486
BCC_GSE123813_aPD1@bcc_su001_post|2|0|59	Skin	B	0.478708997
BCC_GSE123813_aPD1@bcc_su001_post|2|0|6	Skin	B	0.565405263
BCC_GSE123813_aPD1@bcc_su001_post|2|0|60	Skin	B	0.574495713
BCC_GSE123813_aPD1@bcc_su001_post|2|0|61	Skin	B	0.264099387
BCC_GSE123813_aPD1@bcc_su001_post|2|0|62	Skin	B	0.788720989
BCC_GSE123813_aPD1@bcc_su001_post|2|0|63	Skin	B	0.281916695
BCC_GSE123813_aPD1@bcc_su001_post|2|0|64	Skin	B	0.25821399
BCC_GSE123813_aPD1@bcc_su001_post|2|0|65	Skin	B	0.760757152
BCC_GSE123813_aPD1@bcc_su001_post|2|0|66	Skin	B	0.462117038
BCC_GSE123813_aPD1@bcc_su001_post|2|0|67	Skin	B	0.264160313
BCC_GSE123813_aPD1@bcc_su001_post|2|0|68	Skin	B	0.386012842
BCC_GSE123813_aPD1@bcc_su001_post|2|0|69	Skin	B	0.593859874
BCC_GSE123813_aPD1@bcc_su001_post|2|0|7	Skin	B	0.437586181
BCC_GSE123813_aPD1@bcc_su001_post|2|0|70	Skin	B	0.564403825
BCC_GSE123813_aPD1@bcc_su001_post|2|0|71	Skin	B	0.405654162
BCC_GSE123813_aPD1@bcc_su001_post|2|0|72	Skin	B	0.394196924
BCC_GSE123813_aPD1@bcc_su001_post|2|0|73	Skin	B	0.453280341
BCC_GSE123813_aPD1@bcc_su001_post|2|0|74	Skin	B	0.555478948
BCC_GSE123813_aPD1@bcc_su001_post|2|0|75	Skin	B	0.405868496
BCC_GSE123813_aPD1@bcc_su001_post|2|0|76	Skin	B	0.455812197
BCC_GSE123813_aPD1@bcc_su001_post|2|0|77	Skin	B	0.433229574
BCC_GSE123813_aPD1@bcc_su001_post|2|0|78	Skin	B	0.561389732
BCC_GSE123813_aPD1@bcc_su001_post|2|0|79	Skin	B	0.401361119
BCC_GSE123813_aPD1@bcc_su001_post|2|0|8	Skin	B	0.583807555
BCC_GSE123813_aPD1@bcc_su001_post|2|0|80	Skin	B	0.575713082
BCC_GSE123813_aPD1@bcc_su001_post|2|0|81	Skin	B	0.572320745
BCC_GSE123813_aPD1@bcc_su001_post|2|0|82	Skin	B	0.402427364
BCC_GSE123813_aPD1@bcc_su001_post|2|0|83	Skin	B	0.384060811
BCC_GSE123813_aPD1@bcc_su001_post|2|0|84	Skin	B	0.267297619
BCC_GSE123813_aPD1@bcc_su001_post|2|0|85	Skin	B	0.426088247
BCC_GSE123813_aPD1@bcc_su001_post|2|0|86	Skin	B	0.211252675
BCC_GSE123813_aPD1@bcc_su001_post|2|0|87	Skin	B	0.557676633
BCC_GSE123813_aPD1@bcc_su001_post|2|0|88	Skin	B	0.398753835
BCC_GSE123813_aPD1@bcc_su001_post|2|0|89	Skin	B	0.536438927
BCC_GSE123813_aPD1@bcc_su001_post|2|0|9	Skin	B	0.431112743
BCC_GSE123813_aPD1@bcc_su001_post|2|0|90	Skin	B	0.210668934
BCC_GSE123813_aPD1@bcc_su001_post|2|0|91	Skin	B	0.278403161
BCC_GSE123813_aPD1@bcc_su001_post|2|0|92	Skin	B	0.404949223
BCC_GSE123813_aPD1@bcc_su001_post|2|0|93	Skin	B	0.735095443
BCC_GSE123813_aPD1@bcc_su001_post|2|0|94	Skin	B	0.393405166
BCC_GSE123813_aPD1@bcc_su001_post|2|0|95	Skin	B	0.548801172
BCC_GSE123813_aPD1@bcc_su001_post|2|0|96	Skin	B	0.219269554
BCC_GSE123813_aPD1@bcc_su001_post|2|0|97	Skin	B	0.269399916
BCC_GSE123813_aPD1@bcc_su001_post|2|0|98	Skin	B	0.208906858
BCC_GSE123813_aPD1@bcc_su001_post|2|0|99	Skin	B	0.201293915
BCC_GSE123813_aPD1@bcc_su001_post|2|1|1	Skin	B	0.348656726
BCC_GSE123813_aPD1@bcc_su001_post|2|1|10	Skin	B	0.706165643
BCC_GSE123813_aPD1@bcc_su001_post|2|1|11	Skin	B	0.506675357
BCC_GSE123813_aPD1@bcc_su001_post|2|1|12	Skin	B	0.430941821
BCC_GSE123813_aPD1@bcc_su001_post|2|1|13	Skin	B	0.508907387
BCC_GSE123813_aPD1@bcc_su001_post|2|1|14	Skin	B	0.386454684
BCC_GSE123813_aPD1@bcc_su001_post|2|1|15	Skin	B	0.564722689
BCC_GSE123813_aPD1@bcc_su001_post|2|1|16	Skin	B	0.356140289
BCC_GSE123813_aPD1@bcc_su001_post|2|1|17	Skin	B	0.560408828
BCC_GSE123813_aPD1@bcc_su001_post|2|1|18	Skin	B	0.563650709
BCC_GSE123813_aPD1@bcc_su001_post|2|1|19	Skin	B	0.251366257
BCC_GSE123813_aPD1@bcc_su001_post|2|1|2	Skin	B	0.390124568
BCC_GSE123813_aPD1@bcc_su001_post|2|1|20	Skin	B	0.342226538
BCC_GSE123813_aPD1@bcc_su001_post|2|1|21	Skin	B	0.377368384
BCC_GSE123813_aPD1@bcc_su001_post|2|1|22	Skin	B	0.385040389
BCC_GSE123813_aPD1@bcc_su001_post|2|1|23	Skin	B	0.198212074
BCC_GSE123813_aPD1@bcc_su001_post|2|1|24	Skin	B	0.557246838
BCC_GSE123813_aPD1@bcc_su001_post|2|1|25	Skin	B	0.557233733
BCC_GSE123813_aPD1@bcc_su001_post|2|1|26	Skin	B	0.230051964
BCC_GSE123813_aPD1@bcc_su001_post|2|1|27	Skin	B	0.41364414
BCC_GSE123813_aPD1@bcc_su001_post|2|1|28	Skin	B	0.584033047
BCC_GSE123813_aPD1@bcc_su001_post|2|1|29	Skin	B	0.520595074
BCC_GSE123813_aPD1@bcc_su001_post|2|1|3	Skin	B	0.532093208
BCC_GSE123813_aPD1@bcc_su001_post|2|1|30	Skin	B	0.534741855
BCC_GSE123813_aPD1@bcc_su001_post|2|1|31	Skin	B	0.540186674
BCC_GSE123813_aPD1@bcc_su001_post|2|1|32	Skin	B	0.583546594
BCC_GSE123813_aPD1@bcc_su001_post|2|1|33	Skin	B	0.48709283
BCC_GSE123813_aPD1@bcc_su001_post|2|1|34	Skin	B	0.559858609
BCC_GSE123813_aPD1@bcc_su001_post|2|1|35	Skin	B	0.549333833
BCC_GSE123813_aPD1@bcc_su001_post|2|1|36	Skin	B	0.37372431
BCC_GSE123813_aPD1@bcc_su001_post|2|1|37	Skin	B	0.441215755
BCC_GSE123813_aPD1@bcc_su001_post|2|1|38	Skin	B	0.40486721
BCC_GSE123813_aPD1@bcc_su001_post|2|1|39	Skin	B	0.552010915
BCC_GSE123813_aPD1@bcc_su001_post|2|1|4	Skin	B	0.339652356
BCC_GSE123813_aPD1@bcc_su001_post|2|1|40	Skin	B	0.384177237
BCC_GSE123813_aPD1@bcc_su001_post|2|1|41	Skin	B	0.548386147
BCC_GSE123813_aPD1@bcc_su001_post|2|1|42	Skin	B	0.401934123
BCC_GSE123813_aPD1@bcc_su001_post|2|1|43	Skin	B	0.255094126
BCC_GSE123813_aPD1@bcc_su001_post|2|1|44	Skin	B	0.689912661
BCC_GSE123813_aPD1@bcc_su001_post|2|1|45	Skin	B	0.720731773
BCC_GSE123813_aPD1@bcc_su001_post|2|1|46	Skin	B	0.384857374
BCC_GSE123813_aPD1@bcc_su001_post|2|1|47	Skin	B	0.5866613
BCC_GSE123813_aPD1@bcc_su001_post|2|1|48	Skin	B	0.526167654
BCC_GSE123813_aPD1@bcc_su001_post|2|1|49	Skin	B	0.376381901
BCC_GSE123813_aPD1@bcc_su001_post|2|1|5	Skin	B	0.271254122
BCC_GSE123813_aPD1@bcc_su001_post|2|1|50	Skin	B	0.593535969
BCC_GSE123813_aPD1@bcc_su001_post|2|1|51	Skin	B	0.574123165
BCC_GSE123813_aPD1@bcc_su001_post|2|1|52	Skin	B	0.6039132
BCC_GSE123813_aPD1@bcc_su001_post|2|1|53	Skin	B	0.497518049
BCC_GSE123813_aPD1@bcc_su001_post|2|1|54	Skin	B	0.223073119
BCC_GSE123813_aPD1@bcc_su001_post|2|1|55	Skin	B	0.366303925
BCC_GSE123813_aPD1@bcc_su001_post|2|1|56	Skin	B	0.548248164
BCC_GSE123813_aPD1@bcc_su001_post|2|1|57	Skin	B	0.535713171
BCC_GSE123813_aPD1@bcc_su001_post|2|1|58	Skin	B	0.432303244
BCC_GSE123813_aPD1@bcc_su001_post|2|1|59	Skin	B	0.526170141
BCC_GSE123813_aPD1@bcc_su001_post|2|1|6	Skin	B	0.214604149
BCC_GSE123813_aPD1@bcc_su001_post|2|1|60	Skin	B	0.537058441
BCC_GSE123813_aPD1@bcc_su001_post|2|1|61	Skin	B	0.058407479
BCC_GSE123813_aPD1@bcc_su001_post|2|1|62	Skin	B	0.412695412
BCC_GSE123813_aPD1@bcc_su001_post|2|1|63	Skin	B	0.403502986
BCC_GSE123813_aPD1@bcc_su001_post|2|1|64	Skin	B	0.536053508
BCC_GSE123813_aPD1@bcc_su001_post|2|1|65	Skin	B	0.372359162
BCC_GSE123813_aPD1@bcc_su001_post|2|1|66	Skin	B	0.410824152
BCC_GSE123813_aPD1@bcc_su001_post|2|1|67	Skin	B	0.564260145
BCC_GSE123813_aPD1@bcc_su001_post|2|1|68	Skin	B	0.407995947
BCC_GSE123813_aPD1@bcc_su001_post|2|1|69	Skin	B	0.519490887
BCC_GSE123813_aPD1@bcc_su001_post|2|1|7	Skin	B	0.532652921
BCC_GSE123813_aPD1@bcc_su001_post|2|1|70	Skin	B	0.541761586
BCC_GSE123813_aPD1@bcc_su001_post|2|1|71	Skin	B	0.435777864
BCC_GSE123813_aPD1@bcc_su001_post|2|1|72	Skin	B	0.258699906
BCC_GSE123813_aPD1@bcc_su001_post|2|1|73	Skin	B	0.523333787
BCC_GSE123813_aPD1@bcc_su001_post|2|1|74	Skin	B	0.345433105
BCC_GSE123813_aPD1@bcc_su001_post|2|1|75	Skin	B	0.515836043
BCC_GSE123813_aPD1@bcc_su001_post|2|1|76	Skin	B	0.555754209
BCC_GSE123813_aPD1@bcc_su001_post|2|1|77	Skin	B	0.406571653
BCC_GSE123813_aPD1@bcc_su001_post|2|1|78	Skin	B	0.244766849
BCC_GSE123813_aPD1@bcc_su001_post|2|1|79	Skin	B	0.415715083
BCC_GSE123813_aPD1@bcc_su001_post|2|1|8	Skin	B	0.517692147
BCC_GSE123813_aPD1@bcc_su001_post|2|1|80	Skin	B	0.38585315
BCC_GSE123813_aPD1@bcc_su001_post|2|1|81	Skin	B	0.362314355
BCC_GSE123813_aPD1@bcc_su001_post|2|1|9	Skin	B	0.504846893
BCC_GSE123813_aPD1@bcc_su001_post|2|2	Skin	B	0.607262927
BCC_GSE123813_aPD1@bcc_su001_post|3|0|1	Skin	CD4Tconv	0.230525832
BCC_GSE123813_aPD1@bcc_su001_post|3|0|10	Skin	CD4Tconv	0.536758026
BCC_GSE123813_aPD1@bcc_su001_post|3|0|11	Skin	CD4Tconv	0.275277952
BCC_GSE123813_aPD1@bcc_su001_post|3|0|12	Skin	Treg	0.43106662
BCC_GSE123813_aPD1@bcc_su001_post|3|0|13	Skin	CD4Tconv	0.763395369
BCC_GSE123813_aPD1@bcc_su001_post|3|0|14	Skin	Treg	0.600933569
BCC_GSE123813_aPD1@bcc_su001_post|3|0|2	Skin	CD4Tconv	0.577905726
BCC_GSE123813_aPD1@bcc_su001_post|3|0|3	Skin	CD4Tconv	0.578853295
BCC_GSE123813_aPD1@bcc_su001_post|3|0|4	Skin	Treg	0.260871312
BCC_GSE123813_aPD1@bcc_su001_post|3|0|5	Skin	CD4Tconv	0.41832702
BCC_GSE123813_aPD1@bcc_su001_post|3|0|6	Skin	Treg	0.217815067
BCC_GSE123813_aPD1@bcc_su001_post|3|0|7	Skin	Treg	0.409297227
BCC_GSE123813_aPD1@bcc_su001_post|3|0|8	Skin	Treg	0.578956933
BCC_GSE123813_aPD1@bcc_su001_post|3|0|9	Skin	CD4Tconv	0.447859504
BCC_GSE123813_aPD1@bcc_su001_post|3|1|1	Skin	CD8T	0.407424807
BCC_GSE123813_aPD1@bcc_su001_post|3|1|2	Skin	CD8T	0.424549074
BCC_GSE123813_aPD1@bcc_su001_post|3|1|3	Skin	CD8T	0.377512567
BCC_GSE123813_aPD1@bcc_su001_post|3|1|4	Skin	CD8T	0.437033256
BCC_GSE123813_aPD1@bcc_su001_post|3|1|5	Skin	CD8T	0.444575964
BCC_GSE123813_aPD1@bcc_su001_post|3|1|6	Skin	CD8T	0.627343831
BCC_GSE123813_aPD1@bcc_su001_post|3|1|7	Skin	CD8T	0.42738069
BCC_GSE123813_aPD1@bcc_su001_post|3|1|8	Skin	CD8T	0.377757751
BCC_GSE123813_aPD1@bcc_su001_post|3|1|9	Skin	CD8T	0.378386725
BCC_GSE123813_aPD1@bcc_su001_post|4|0	Skin	CD8T	0.755247564
BCC_GSE123813_aPD1@bcc_su001_post|4|0|10	Skin	CD8T	0.412195432
BCC_GSE123813_aPD1@bcc_su001_post|4|0|11	Skin	CD8T	0.372129789
BCC_GSE123813_aPD1@bcc_su001_post|4|0|12	Skin	CD8T	0.587785649
BCC_GSE123813_aPD1@bcc_su001_post|4|0|13	Skin	CD8T	0.58967551
BCC_GSE123813_aPD1@bcc_su001_post|4|0|14	Skin	CD8T	0.586453132
BCC_GSE123813_aPD1@bcc_su001_post|4|0|15	Skin	CD8T	0.423904676
BCC_GSE123813_aPD1@bcc_su001_post|4|0|16	Skin	CD8T	0.580889624
BCC_GSE123813_aPD1@bcc_su001_post|4|0|17	Skin	CD8T	0.629170821
BCC_GSE123813_aPD1@bcc_su001_post|4|0|18	Skin	CD8T	0.396679951
BCC_GSE123813_aPD1@bcc_su001_post|4|0|19	Skin	CD8T	0.252338441
BCC_GSE123813_aPD1@bcc_su001_post|4|0|2	Skin	CD8T	0.613368604
BCC_GSE123813_aPD1@bcc_su001_post|4|0|20	Skin	CD8T	0.593579807
BCC_GSE123813_aPD1@bcc_su001_post|4|0|21	Skin	CD8T	0.251202699
BCC_GSE123813_aPD1@bcc_su001_post|4|0|22	Skin	CD8T	0.210674631
BCC_GSE123813_aPD1@bcc_su001_post|4|0|23	Skin	CD8T	0.388338429
BCC_GSE123813_aPD1@bcc_su001_post|4|0|3	Skin	CD8T	0.233154741
BCC_GSE123813_aPD1@bcc_su001_post|4|0|4	Skin	CD8T	0.458079261
BCC_GSE123813_aPD1@bcc_su001_post|4|0|5	Skin	CD8T	0.39953583
BCC_GSE123813_aPD1@bcc_su001_post|4|0|6	Skin	CD8T	0.554089537
BCC_GSE123813_aPD1@bcc_su001_post|4|0|7	Skin	CD8T	0.420577029
BCC_GSE123813_aPD1@bcc_su001_post|4|0|8	Skin	CD8T	0.457204481
BCC_GSE123813_aPD1@bcc_su001_post|4|0|9	Skin	CD8T	0.605138398
BCC_GSE123813_aPD1@bcc_su001_post|4|1|1	Skin	Treg	0.388621133
BCC_GSE123813_aPD1@bcc_su001_post|4|1|2	Skin	Treg	0.622466884
BCC_GSE123813_aPD1@bcc_su001_post|4|1|3	Skin	Treg	0.221615489
BCC_GSE123813_aPD1@bcc_su001_post|4|1|4	Skin	Treg	0.598375316
BCC_GSE123813_aPD1@bcc_su001_post|4|1|5	Skin	Treg	0.559365686
BCC_GSE123813_aPD1@bcc_su001_post|4|1|6	Skin	Treg	0.57159813
BCC_GSE123813_aPD1@bcc_su001_post|4|1|7	Skin	CD4Tconv	0.393080606
BCC_GSE123813_aPD1@bcc_su001_post|4|1|8	Skin	Treg	0.374534365
BCC_GSE123813_aPD1@bcc_su001_post|5|0	Skin	CD4Tconv	0.344086558
BCC_GSE123813_aPD1@bcc_su001_post|5|0|2	Skin	Treg	0.712400479
BCC_GSE123813_aPD1@bcc_su001_post|5|0|3	Skin	Treg	0.550016828
BCC_GSE123813_aPD1@bcc_su001_post|5|0|4	Skin	Treg	0.568411828
