Cancer	ImmuneCT	EXTENDclass	ImmuneCTFreq	SampleSize	ExtendClassSize	Ratio	Pvalue	FDR	Significance
48	KIRC	C2	Low	7	516	329	0.0212765957446809	0.00863945678992915	0.0218259961008736	Sig
49	KIRC	C3	High	148	516	187	0.79144385026738	0.0004418871286098	0.00212105821732704	Sig
50	KIRC	C3	Low	298	516	329	0.905775075987842	0.0004418871286098	0.00212105821732704	Sig
51	KIRC	C4	High	14	516	187	0.0748663101604278	0.100017130678594	0.165545595605949	NS
52	KIRC	C4	Low	13	516	329	0.0395136778115502	0.100017130678594	0.165545595605949	NS
53	KIRC	C6	High	6	516	187	0.0320855614973262	0.560567474658832	0.656274116673755	NS
54	KIRC	C6	Low	7	516	329	0.0212765957446809	0.560567474658832	0.656274116673755	NS
55	KIRP	C3	High	32	286	59	0.542372881355932	0.00214980848020699	0.00737482137382042	Sig
56	KIRP	C3	Low	171	286	227	0.753303964757709	0.00214980848020699	0.00737482137382042	Sig
57	KIRP	C4	High	20	286	59	0.338983050847458	0.036598862998289	0.073197725996578	NS
58	KIRP	C4	Low	46	286	227	0.202643171806167	0.036598862998289	0.073197725996578	NS
59	LGG	C4	High	9	202	58	0.155172413793103	0.255506362665943	0.350408725941865	NS
60	LGG	C4	Low	34	202	144	0.236111111111111	0.255506362665943	0.350408725941865	NS
61	LGG	C5	High	48	202	58	0.827586206896552	0.350801518334935	0.455276807350083	NS
62	LGG	C5	Low	109	202	144	0.756944444444444	0.350801518334935	0.455276807350083	NS
63	LIHC	C1	High	15	371	129	0.116279069767442	0.00185248925559261	0.00683996032834194	Sig
64	LIHC	C1	Low	7	371	242	0.0289256198347107	0.00185248925559261	0.00683996032834194	Sig
65	LIHC	C2	High	20	371	129	0.155038759689922	0.181100004629149	0.267470776067666	NS
66	LIHC	C2	Low	25	371	242	0.103305785123967	0.181100004629149	0.267470776067666	NS
67	LIHC	C3	High	24	371	129	0.186046511627907	4.97996937906017e-08	9.56154120779553e-07	Sig
68	LIHC	C3	Low	113	371	242	0.466942148760331	4.97996937906017e-08	9.56154120779553e-07	Sig
69	LIHC	C4	High	69	371	129	0.534883720930233	0.00415025925190913	0.0120734814600993	Sig
70	LIHC	C4	Low	91	371	242	0.37603305785124	0.00415025925190913	0.0120734814600993	Sig
71	LUAD	C1	High	57	512	228	0.25	1.78418577373724e-06	1.71281834278775e-05	Sig
72	LUAD	C1	Low	26	512	284	0.0915492957746479	1.78418577373724e-06	1.71281834278775e-05	Sig
73	LUAD	C2	High	86	512	228	0.37719298245614	0.000122157222230181	0.000689829019652787	Sig
74	LUAD	C2	Low	62	512	284	0.21830985915493	0.000122157222230181	0.000689829019652787	Sig
75	LUAD	C3	High	24	512	228	0.105263157894737	5.55184259041828e-27	5.32976888680155e-25	Sig
76	LUAD	C3	Low	155	512	284	0.545774647887324	5.55184259041828e-27	5.32976888680155e-25	Sig
77	LUAD	C4	High	14	512	228	0.0614035087719298	0.0222804594113244	0.0497424210113289	Sig
78	LUAD	C4	Low	6	512	284	0.0211267605633803	0.0222804594113244	0.0497424210113289	Sig
79	LUAD	C6	Low	24	512	284	0.0845070422535211	5.20317424152122e-07	6.24380908982546e-06	Sig
80	LUSC	C1	High	149	487	248	0.600806451612903	0.120097644108505	0.189006128433057	NS
81	LUSC	C1	Low	126	487	239	0.527196652719665	0.120097644108505	0.189006128433057	NS
82	LUSC	C2	High	95	487	248	0.383064516129032	0.779097272106993	0.821904814530454	NS
83	LUSC	C2	Low	88	487	239	0.368200836820084	0.779097272106993	0.821904814530454	NS
84	LUSC	C3	Low	8	487	239	0.0334728033472803	0.00316686841887205	0.00980707639392635	Sig
85	LUSC	C6	Low	14	487	239	0.0585774058577406	3.85047020909745e-05	0.000231028212545847	Sig
86	MESO	C1	High	19	87	42	0.452380952380952	0.126125143821945	0.195290545272689	NS
87	MESO	C1	Low	13	87	45	0.288888888888889	0.126125143821945	0.195290545272689	NS
88	MESO	C2	High	10	87	42	0.238095238095238	1	1	NS
89	MESO	C2	Low	11	87	45	0.244444444444444	1	1	NS
90	MESO	C3	Low	5	87	45	0.111111111111111	0.0560875512995896	0.101785308695869	NS
91	MESO	C4	High	6	87	42	0.142857142857143	0.752591385904622	0.811783966818469	NS
92	MESO	C4	Low	5	87	45	0.111111111111111	0.752591385904622	0.811783966818469	NS
93	MESO	C6	Low	9	87	45	0.2	0.00259701952297136	0.00831046247350835	Sig
94	OV	C1	High	24	306	122	0.19672131147541	0.148173277213771	0.225787850992413	NS
95	OV	C1	Low	24	306	184	0.130434782608696	0.148173277213771	0.225787850992413	NS
96	OV	C2	High	68	306	122	0.557377049180328	0.350942538999022	0.455276807350083	NS
97	OV	C2	Low	92	306	184	0.5	0.350942538999022	0.455276807350083	NS
98	OV	C4	High	24	306	122	0.19672131147541	0.8851767402896	0.904010287955336	NS
99	OV	C4	Low	38	306	184	0.206521739130435	0.8851767402896	0.904010287955336	NS
100	PAAD	C1	High	22	157	52	0.423076923076923	0.380763045806447	0.487376698632252	NS
101	PAAD	C1	Low	36	157	105	0.342857142857143	0.380763045806447	0.487376698632252	NS
102	PAAD	C2	High	16	157	52	0.307692307692308	0.0342202686820699	0.0698967190101853	NS
103	PAAD	C2	Low	16	157	105	0.152380952380952	0.0342202686820699	0.0698967190101853	NS
104	PAAD	C3	High	6	157	52	0.115384615384615	0.00594642042329699	0.0163101817324717	Sig
105	PAAD	C3	Low	34	157	105	0.323809523809524	0.00594642042329699	0.0163101817324717	Sig
106	PAAD	C6	Low	18	157	105	0.171428571428571	0.000791524210322001	0.00345392382685964	Sig
107	PCPG	C3	High	16	183	40	0.4	0.00331082120739718	0.00993246362219154	Sig
108	PCPG	C3	Low	95	183	143	0.664335664335664	0.00331082120739718	0.00993246362219154	Sig
109	PCPG	C4	High	20	183	40	0.5	0.0380550669367616	0.074556865835288	NS
110	PCPG	C4	Low	44	183	143	0.307692307692308	0.0380550669367616	0.074556865835288	NS
111	PRAD	C1	High	22	494	203	0.108374384236453	0.0076250513904693	0.0203334703745848	Sig
112	PRAD	C1	Low	13	494	291	0.0446735395189003	0.0076250513904693	0.0203334703745848	Sig
113	PRAD	C2	High	13	494	203	0.0640394088669951	0.0170062994278814	0.0404991289076935	Sig
114	PRAD	C2	Low	6	494	291	0.0206185567010309	0.0170062994278814	0.0404991289076935	Sig
115	PRAD	C3	High	103	494	203	0.507389162561576	1.43467923541973e-05	0.000105945543538688	Sig
116	PRAD	C3	Low	204	494	291	0.701030927835051	1.43467923541973e-05	0.000105945543538688	Sig
117	PRAD	C4	High	32	494	203	0.157635467980296	2.43952899592446e-05	0.000167281988291963	Sig
118	PRAD	C4	Low	13	494	291	0.0446735395189003	2.43952899592446e-05	0.000167281988291963	Sig
119	READ	C1	High	46	90	52	0.884615384615385	0.24984667739989	0.347612768556369	NS
120	READ	C1	Low	30	90	38	0.789473684210526	0.24984667739989	0.347612768556369	NS
121	READ	C2	High	5	90	52	0.0961538461538462	0.737308637888167	0.811783966818469	NS
122	READ	C2	Low	5	90	38	0.131578947368421	0.737308637888167	0.811783966818469	NS
123	SARC	C1	High	31	258	116	0.267241379310345	0.774591859148894	0.821904814530454	NS
124	SARC	C1	Low	35	258	142	0.246478873239437	0.774591859148894	0.821904814530454	NS
125	SARC	C2	High	19	258	116	0.163793103448276	0.727167143393077	0.811721462392272	NS
126	SARC	C2	Low	20	258	142	0.140845070422535	0.727167143393077	0.811721462392272	NS
127	SARC	C3	High	10	258	116	0.0862068965517241	0.00223497320031826	0.00739853197346734	Sig
128	SARC	C3	Low	33	258	142	0.232394366197183	0.00223497320031826	0.00739853197346734	Sig
129	SARC	C4	High	38	258	116	0.327586206896552	0.000946439298391503	0.00378640450048062	Sig
130	SARC	C4	Low	21	258	142	0.147887323943662	0.000946439298391503	0.00378640450048062	Sig
131	SARC	C6	High	7	258	116	0.0603448275862069	0.483622847238623	0.582150965065782	NS
132	SARC	C6	Low	13	258	142	0.0915492957746479	0.483622847238623	0.582150965065782	NS
133	SKCM	C1	High	19	472	233	0.0815450643776824	0.629421623902985	0.728005733670922	NS
134	SKCM	C1	Low	23	472	239	0.096234309623431	0.629421623902985	0.728005733670922	NS
135	SKCM	C2	High	9	472	233	0.0386266094420601	0.0785438148334469	0.13709465861838	NS
136	SKCM	C2	Low	19	472	239	0.0794979079497908	0.0785438148334469	0.13709465861838	NS
137	SKCM	C3	Low	12	472	239	0.0502092050209205	0.000427815157762655	0.00212105821732704	Sig
138	SKCM	C4	High	13	472	233	0.055793991416309	0.104278908441812	0.169674156108711	NS
139	SKCM	C4	Low	6	472	239	0.0251046025104603	0.104278908441812	0.169674156108711	NS
140	STAD	C1	High	75	401	215	0.348837209302326	0.238644693425222	0.336910155423843	NS
141	STAD	C1	Low	54	401	186	0.290322580645161	0.238644693425222	0.336910155423843	NS
142	STAD	C2	High	125	401	215	0.581395348837209	0.0160387764207022	0.0394800650355746	Sig
143	STAD	C2	Low	85	401	186	0.456989247311828	0.0160387764207022	0.0394800650355746	Sig
144	STAD	C3	Low	34	401	186	0.182795698924731	7.67882514660423e-13	2.45722404691335e-11	Sig
145	STAD	C4	High	5	401	215	0.0232558139534884	0.0642042878974024	0.114140956262049	NS
146	STAD	C6	Low	7	401	186	0.0376344086021505	0.00434343106619378	0.0122638053633707	Sig
147	TGCT	C1	High	20	155	112	0.178571428571429	3.58164371369589e-05	0.000229225197676537	Sig
148	TGCT	C1	Low	23	155	43	0.534883720930233	3.58164371369589e-05	0.000229225197676537	Sig
149	TGCT	C2	High	92	155	112	0.821428571428571	8.59303526548597e-07	9.16590428318503e-06	Sig
150	TGCT	C2	Low	17	155	43	0.395348837209302	8.59303526548597e-07	9.16590428318503e-06	Sig
151	THCA	C2	High	5	508	148	0.0337837837837838	0.536928981329212	0.636360274167955	NS
152	THCA	C2	Low	8	508	360	0.0222222222222222	0.536928981329212	0.636360274167955	NS
153	THCA	C3	High	134	508	148	0.905405405405405	0.468189521465344	0.582150965065782	NS
154	THCA	C3	Low	334	508	360	0.927777777777778	0.468189521465344	0.582150965065782	NS
155	THCA	C4	High	6	508	148	0.0405405405405405	1	1	NS
156	THCA	C4	Low	16	508	360	0.0444444444444444	1	1	NS
157	UCEC	C1	High	46	174	98	0.469387755102041	0.0189589889337735	0.0433348318486251	Sig
158	UCEC	C1	Low	22	174	76	0.289473684210526	0.0189589889337735	0.0433348318486251	Sig
159	UCEC	C2	High	50	174	98	0.510204081632653	0.646701658180693	0.739087609349363	NS
160	UCEC	C2	Low	42	174	76	0.552631578947368	0.646701658180693	0.739087609349363	NS
161	UCEC	C3	Low	10	174	76	0.131578947368421	0.000177205748844122	0.000945097327168651	Sig
162	UCS	C1	High	10	57	12	0.833333333333333	0.476745684048496	0.582150965065782	NS
163	UCS	C1	Low	31	57	45	0.688888888888889	0.476745684048496	0.582150965065782	NS
164	UCS	C2	Low	12	57	45	0.266666666666667	0.0527801422865651	0.0993508560688284	NS
165	UVM	C3	High	18	80	55	0.327272727272727	0.219370446888664	0.319084286383511	NS
166	UVM	C3	Low	12	80	25	0.48	0.219370446888664	0.319084286383511	NS
167	UVM	C4	High	35	80	55	0.636363636363636	0.337807825271572	0.450410433695429	NS
168	UVM	C4	Low	13	80	25	0.52	0.337807825271572	0.450410433695429	NS
