Cancer	EXTENDclass	Pvalue	FDR	Sig	Mean	Conf	OA_Total
LAML	High	0.00366845409656339	0.0052706030733731	Sig	0.0603864283885009	-0.0106881147041188	85
LAML	Low	0.00366845409656339	0.0052706030733731	Sig	0.0924890383642552	-0.0535171052473898	55
LGG	High	2.36491901926613e-05	4.43422316112399e-05	Sig	0.0418986633781552	-0.0434410333788386	33
LGG	Low	2.36491901926613e-05	4.43422316112399e-05	Sig	0.120334093407275	-0.1134298266794	68
LIHC	High	1.35040656353871e-09	4.05121969061613e-09	Sig	0.276358840031505	-0.0388408419396745	134
LIHC	Low	1.35040656353871e-09	4.05121969061613e-09	Sig	0.333052626338582	-0.0745467306744785	218
LUAD	High	6.10423606396792e-09	1.66479165380943e-08	Sig	0.437103359597529	-0.0367525275705231	221
LUAD	Low	6.10423606396792e-09	1.66479165380943e-08	Sig	0.492066684553921	-0.0731741223422598	274
LUSC	High	7.44383870848972e-32	2.23315161254691e-30	Sig	0.399508048468566	-0.106161035513625	243
LUSC	Low	7.44383870848972e-32	2.23315161254691e-30	Sig	0.525189356630533	-0.145201580810309	240
MESO	High	0.139446761914111	0.154940846571234	NS	0.438727233981952	0.0108803191557742	40
MESO	Low	0.139446761914111	0.154940846571234	NS	0.471406813772081	-0.0762394787360319	45
OV	High	1.23378455924398e-07	3.08446139810995e-07	Sig	0.238148370480632	-0.0419180291135988	125
OV	Low	1.23378455924398e-07	3.08446139810995e-07	Sig	0.303869161665999	-0.0895235532571346	187
PAAD	High	0.000288006336715981	0.000454746847446287	Sig	0.481737332924997	-0.0214201979404002	52
PAAD	Low	0.000288006336715981	0.000454746847446287	Sig	0.526891680846942	-0.0688884979034885	106
PCPG	High	5.45681213953517e-06	1.09136242790703e-05	Sig	0.0857590080613862	-0.0752800673082965	29
PCPG	Low	5.45681213953517e-06	1.09136242790703e-05	Sig	0.209143622356093	-0.171489161281117	106
PRAD	High	5.89078519926888e-25	5.89078519926888e-24	Sig	0.174908874423886	-0.0688135136582873	205
PRAD	Low	5.89078519926888e-25	5.89078519926888e-24	Sig	0.258712764981362	-0.0987942674566647	291
READ	High	0.00559787167487	0.00730157174983043	Sig	0.391985052223334	-0.0177420570709648	49
READ	Low	0.00559787167487	0.00730157174983043	Sig	0.450909172323297	-0.100106183128961	37
SARC	High	4.55197051607482e-10	1.70698894352806e-09	Sig	0.314837548873706	-0.0842215129666224	106
SARC	Low	4.55197051607482e-10	1.70698894352806e-09	Sig	0.435287866397124	-0.156679122080215	136
SKCM	High	2.51982463300055e-15	1.51189477980033e-14	Sig	0.242072295159383	-0.0721063537228976	208
SKCM	Low	2.51982463300055e-15	1.51189477980033e-14	Sig	0.33680035090441	-0.117349757767155	202
STAD	High	1.17557225937968e-09	3.91857419793228e-09	Sig	0.440660707598324	-0.0450874850646654	209
STAD	Low	1.17557225937968e-09	3.91857419793228e-09	Sig	0.506488583556356	-0.0865682668513977	184
THCA	High	0.103896941528261	0.124676329833914	NS	0.329004353448582	0.0464791498734209	107
THCA	Low	0.103896941528261	0.124676329833914	NS	0.30794535877379	-0.00436116052383672	224
THYM	High	6.0979615199339e-18	4.57347113995042e-17	Sig	0.138349737983929	-0.128165670333106	60
THYM	Low	6.0979615199339e-18	4.57347113995042e-17	Sig	0.295448618534154	-0.186032090767343	49
UCEC	High	0.00396974974970804	0.00541329511323824	Sig	0.248083485747381	-0.015077200329102	95
UCEC	Low	0.00396974974970804	0.00541329511323824	Sig	0.294566318949327	-0.07788846607479	72
UCS	High	0.128931750578825	0.148767404514029	NS	0.206037488262037	0.0162364883270485	12
UCS	Low	0.128931750578825	0.148767404514029	NS	0.25684535795514	-0.117852227713255	45
UVM	High	0.492660563474525	0.492660563474525	NS	0.036310196317872	0.0267885083743472	52
UVM	Low	0.492660563474525	0.492660563474525	NS	0.0503970899657515	-0.0549622956701062	23
