SampleID	EXTENDScores	Samples	Tissues	SenescenceGenes	ClusterNo	ClusterMean	EXTENDclass
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.766803197	AMO1	Haematpoetic&Lymphoid	0.883984365041608	2	0.650899640438531	High
AN3CA_ENDOMETRIUM	0.676278136	AN3CA	Endometrium	0.850321919651552	2	0.650899640438531	High
ASPC1_PANCREAS	0.347124358	ASPC1	Pancreas	1.13668208099877	1	0.399361136386076	Low
AU565_BREAST	0.325684839	AU565	Breast	0.94076755410834	1	0.399361136386076	Low
BC3C_URINARY_TRACT	0.553404219	BC3C	UrinaryTract	1.26855772909533	2	0.650899640438531	High
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.824358983	BCP1	Haematpoetic&Lymphoid	0.739737492548395	2	0.650899640438531	High
BCPAP_THYROID	0.130136627	BCPAP	Thyroid	1.33861011414465	1	0.399361136386076	Low
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.634581653	BDCM	Haematpoetic&Lymphoid	0.902966799393186	2	0.650899640438531	High
BEN_LUNG	0.424074534	BEN	Lung	0.8093241485848	1	0.399361136386076	Low
BFTC905_URINARY_TRACT	0.36335255	BFTC905	UrinaryTract	1.30184987504526	1	0.399361136386076	Low
BFTC909_KIDNEY	0.395012693	BFTC909	Kidney	1.17123061332261	1	0.399361136386076	Low
BHT101_THYROID	0.52659821	BHT101	Thyroid	1.34755045227194	2	0.650899640438531	High
BHY_UPPER_AERODIGESTIVE_TRACT	0.524208541	BHY	UpperAeroDigestiveTract	1.25975679059658	1	0.399361136386076	Low
BICR16_UPPER_AERODIGESTIVE_TRACT	0.313626056	BICR16	UpperAeroDigestiveTract	1.35359570797651	1	0.399361136386076	Low
BICR18_UPPER_AERODIGESTIVE_TRACT	0.509319526	BICR18	UpperAeroDigestiveTract	1.09461599008191	1	0.399361136386076	Low
BICR22_UPPER_AERODIGESTIVE_TRACT	0.338102495	BICR22	UpperAeroDigestiveTract	1.27379581767595	1	0.399361136386076	Low
BICR31_UPPER_AERODIGESTIVE_TRACT	0.147348219	BICR31	UpperAeroDigestiveTract	1.3459071053646	1	0.399361136386076	Low
BICR56_UPPER_AERODIGESTIVE_TRACT	0.169845947	BICR56	UpperAeroDigestiveTract	1.28287881325838	1	0.399361136386076	Low
BICR6_UPPER_AERODIGESTIVE_TRACT	0.32970849	BICR6	UpperAeroDigestiveTract	1.27797594542675	1	0.399361136386076	Low
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.840730774	BL41	Haematpoetic&Lymphoid	0.693642774925997	2	0.650899640438531	High
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	BL70	Haematpoetic&Lymphoid	0.631852864603524	2	0.650899640438531	High
BT12_SOFT_TISSUE	0.741951381	BT12	SoftTissue	0.899709706521412	2	0.650899640438531	High
BT20_BREAST	0.310944559	BT20	Breast	0.842680002934908	1	0.399361136386076	Low
BT474_BREAST	0.520331289	BT474	Breast	0.831427091087238	1	0.399361136386076	Low
BT483_BREAST	0.433810717	BT483	Breast	0.896825977757661	1	0.399361136386076	Low
BT549_BREAST	0.441830917	BT549	Breast	1.22886620693466	1	0.399361136386076	Low
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.809416137	BV173	Haematpoetic&Lymphoid	0.799497825732951	2	0.650899640438531	High
BXPC3_PANCREAS	0.384923142	BXPC3	Pancreas	1.35767718678735	1	0.399361136386076	Low
C2BBE1_LARGE_INTESTINE	0.657700032	C2BBE1	LargeIntestine	1.03203701469916	2	0.650899640438531	High
C32_SKIN	0.467611395	C32	Skin	1.08992915813387	1	0.399361136386076	Low
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.541611481	C8166	Haematpoetic&Lymphoid	0.768009240313134	2	0.650899640438531	High
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.742456006	CA46	Haematpoetic&Lymphoid	0.640574186252134	2	0.650899640438531	High
CACO2_LARGE_INTESTINE	0.560997569	CACO2	LargeIntestine	1.15487157308898	2	0.650899640438531	High
CADOES1_BONE	0.508257486	CADOES1	Bone	0.889250780151512	1	0.399361136386076	Low
CAKI1_KIDNEY	0.500419548	CAKI1	Kidney	1.29146526798965	1	0.399361136386076	Low
CAKI2_KIDNEY	0.372010097	CAKI2	Kidney	1.13176305763705	1	0.399361136386076	Low
CAL120_BREAST	0.500056934	CAL120	Breast	1.07267578680511	1	0.399361136386076	Low
CAL12T_LUNG	0.485276093	CAL12T	Lung	1.09947382936979	1	0.399361136386076	Low
CAL148_BREAST	0.519058717	CAL148	Breast	0.771895901864399	1	0.399361136386076	Low
CAL27_UPPER_AERODIGESTIVE_TRACT	0.477520488	CAL27	UpperAeroDigestiveTract	1.337550953402	1	0.399361136386076	Low
CAL29_URINARY_TRACT	0.553290167	CAL29	UrinaryTract	1.25705354649479	2	0.650899640438531	High
CAL33_UPPER_AERODIGESTIVE_TRACT	0.279051868	CAL33	UpperAeroDigestiveTract	1.24948603107401	1	0.399361136386076	Low
CAL51_BREAST	0.627796861	CAL51	Breast	1.0257951786242	2	0.650899640438531	High
CAL54_KIDNEY	0.359139034	CAL54	Kidney	1.15937622738358	1	0.399361136386076	Low
CAL62_THYROID	0.672875056	CAL62	Thyroid	0.910247518750058	2	0.650899640438531	High
CAL78_BONE	0.331662452	CAL78	Bone	1.22553356655499	1	0.399361136386076	Low
CAL851_BREAST	0.289292277	CAL851	Breast	1.27418717336224	1	0.399361136386076	Low
CALU1_LUNG	0.481383344	CALU1	Lung	1.17812104242804	1	0.399361136386076	Low
CALU3_LUNG	0.340494349	CALU3	Lung	1.15091774480121	1	0.399361136386076	Low
CALU6_LUNG	0.471294733	CALU6	Lung	1.08537488786914	1	0.399361136386076	Low
CAMA1_BREAST	0.412849897	CAMA1	Breast	0.833453718927562	1	0.399361136386076	Low
CAOV3_OVARY	0.554298999	CAOV3	Ovary	1.19571493267031	2	0.650899640438531	High
CAOV4_OVARY	0.170445972	CAOV4	Ovary	1.00851798607605	1	0.399361136386076	Low
CAPAN1_PANCREAS	0.481123352	CAPAN1	Pancreas	1.19662266528412	1	0.399361136386076	Low
CAPAN2_PANCREAS	0.549018213	CAPAN2	Pancreas	1.15593759549538	2	0.650899640438531	High
CAS1_CENTRAL_NERVOUS_SYSTEM	0.265998605	CAS1	CNS	1.36064665480098	1	0.399361136386076	Low
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	0.650673751	CCFSTTG1	CNS	1.30259774916875	2	0.650899640438531	High
CCK81_LARGE_INTESTINE	0.621407872	CCK81	LargeIntestine	0.829007455237637	2	0.650899640438531	High
CFPAC1_PANCREAS	0.493093365	CFPAC1	Pancreas	1.35223138286652	1	0.399361136386076	Low
CH157MN_CENTRAL_NERVOUS_SYSTEM	0.483069107	CH157MN	CNS	1.37077069875917	1	0.399361136386076	Low
CHAGOK1_LUNG	0.427547421	CHAGOK1	Lung	0.876145936706693	1	0.399361136386076	Low
CHP126_AUTONOMIC_GANGLIA	0.552003493	CHP126	A_Ganglia	0.715846354138591	2	0.650899640438531	High
CHP212_AUTONOMIC_GANGLIA	0.617523674	CHP212	A_Ganglia	1.04770204146674	2	0.650899640438531	High
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.681408156	CI1	Haematpoetic&Lymphoid	0.773180112094815	2	0.650899640438531	High
CJM_SKIN	0.296284387	CJM	Skin	1.21178316087954	1	0.399361136386076	Low
CL11_LARGE_INTESTINE	0.472581213	CL11	LargeIntestine	1.15074976825934	1	0.399361136386076	Low
CL14_LARGE_INTESTINE	0.347146264	CL14	LargeIntestine	1.13327881018977	1	0.399361136386076	Low
CL34_LARGE_INTESTINE	0.497957422	CL34	LargeIntestine	0.946772315727292	1	0.399361136386076	Low
CL40_LARGE_INTESTINE	0.389041742	CL40	LargeIntestine	1.20022115736214	1	0.399361136386076	Low
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.676563794	CMK	Haematpoetic&Lymphoid	0.909656680807206	2	0.650899640438531	High
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.540426422	CMLT1	Haematpoetic&Lymphoid	0.809303573224346	2	0.650899640438531	High
COLO201_LARGE_INTESTINE	0.507180632	COLO201	LargeIntestine	1.00563479524661	1	0.399361136386076	Low
COLO320_LARGE_INTESTINE	0.550067763	COLO320	LargeIntestine	0.74217970147617	2	0.650899640438531	High
COLO668_LUNG	0.634209079	COLO668	Lung	0.85024870090254	2	0.650899640438531	High
COLO678_LARGE_INTESTINE	0.388387775	COLO678	LargeIntestine	0.900006705081391	1	0.399361136386076	Low
COLO679_SKIN	0.614224691	COLO679	Skin	0.990538025012776	2	0.650899640438531	High
COLO680N_OESOPHAGUS	0.323749171	COLO680N	Oesophagus	1.21456082891127	1	0.399361136386076	Low
COLO684_ENDOMETRIUM	0.561746187	COLO684	Endometrium	0.65735969866394	2	0.650899640438531	High
COLO741_SKIN	0.548299463	COLO741	Skin	0.90371378699395	2	0.650899640438531	High
COLO783_SKIN	0.481500025	COLO783	Skin	1.06761862037359	1	0.399361136386076	Low
COLO792_SKIN	0.622505783	COLO792	Skin	0.968811669674739	2	0.650899640438531	High
COLO800_SKIN	0.413194589	COLO800	Skin	1.11080932438563	1	0.399361136386076	Low
COLO829_SKIN	0.233687873	COLO829	Skin	1.12251734229726	1	0.399361136386076	Low
CORL105_LUNG	0.467922051	CORL105	Lung	1.13194838458752	1	0.399361136386076	Low
CORL23_LUNG	0.647388332	CORL23	Lung	1.15196667598932	2	0.650899640438531	High
CORL24_LUNG	0.416487048	CORL24	Lung	0.617091019693797	1	0.399361136386076	Low
CORL279_LUNG	0.670390759	CORL279	Lung	0.693116685866664	2	0.650899640438531	High
CORL311_LUNG	0.861436419	CORL311	Lung	0.531954950721874	2	0.650899640438531	High
CORL47_LUNG	0.625153178	CORL47	Lung	0.722073864695933	2	0.650899640438531	High
CORL88_LUNG	0.743046997	CORL88	Lung	0.653354360859906	2	0.650899640438531	High
CORL95_LUNG	0.622129011	CORL95	Lung	0.87199958313031	2	0.650899640438531	High
COV318_OVARY	0.460296161	COV318	Ovary	1.07830907851856	1	0.399361136386076	Low
COV362_OVARY	0.471378335	COV362	Ovary	1.22316923456452	1	0.399361136386076	Low
COV434_OVARY	0.717683524	COV434	Ovary	0.992785204579683	2	0.650899640438531	High
COV644_OVARY	0.377414349	COV644	Ovary	1.12232543144163	1	0.399361136386076	Low
CW2_LARGE_INTESTINE	0.499670218	CW2	LargeIntestine	1.03498680657727	1	0.399361136386076	Low
D283MED_CENTRAL_NERVOUS_SYSTEM	0.692426554	D283MED	CNS	0.768763086877375	2	0.650899640438531	High
D341MED_CENTRAL_NERVOUS_SYSTEM	0.233809056	D341MED	CNS	0.633926725999767	1	0.399361136386076	Low
DANG_PANCREAS	0.470361382	DANG	Pancreas	1.15632693040176	1	0.399361136386076	Low
DAOY_CENTRAL_NERVOUS_SYSTEM	0.639495805	DAOY	CNS	1.19830368606789	2	0.650899640438531	High
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.663379353	DAUDI	Haematpoetic&Lymphoid	0.681002247749764	2	0.650899640438531	High
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.777199043	DB	Haematpoetic&Lymphoid	0.540321352070344	2	0.650899640438531	High
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	0.335661149	DBTRG05MG	CNS	1.31502148904497	1	0.399361136386076	Low
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.64176194	DEL	Haematpoetic&Lymphoid	0.972204793253311	2	0.650899640438531	High
DETROIT562_UPPER_AERODIGESTIVE_TRACT	0.51783317	DETROIT562	UpperAeroDigestiveTract	1.32300884752144	1	0.399361136386076	Low
DKMG_CENTRAL_NERVOUS_SYSTEM	0.37894613	DKMG	CNS	1.23965939911384	1	0.399361136386076	Low
DM3_FIBROBLAST	0.21680699	DM3	Fibroblast	1.40287642115629	1	0.399361136386076	Low
DMS114_LUNG	0.741592988	DMS114	Lung	0.796036151521719	2	0.650899640438531	High
DMS153_LUNG	0.697256495	DMS153	Lung	0.760797187066948	2	0.650899640438531	High
DMS273_LUNG	0.575382027	DMS273	Lung	0.867657292027272	2	0.650899640438531	High
DMS454_LUNG	0.754708455	DMS454	Lung	0.729757804425628	2	0.650899640438531	High
DMS53_LUNG	0.783863774	DMS53	Lung	0.866591616756498	2	0.650899640438531	High
DMS79_LUNG	0.692684585	DMS79	Lung	0.853578952198982	2	0.650899640438531	High
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.796618688	DND41	Haematpoetic&Lymphoid	1.00157331087064	2	0.650899640438531	High
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.731661506	DOHH2	Haematpoetic&Lymphoid	0.753841228981866	2	0.650899640438531	High
DU145_PROSTATE	0.664218784	DU145	Prostate	1.1969477486013	2	0.650899640438531	High
DU4475_BREAST	0.543119613	DU4475	Breast	0.748475951965226	2	0.650899640438531	High
DV90_LUNG	0.616754955	DV90	Lung	0.996133123075187	2	0.650899640438531	High
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.541529826	EB1	Haematpoetic&Lymphoid	0.721167564705728	2	0.650899640438531	High
EBC1_LUNG	0.551028526	EBC1	Lung	1.0715490420537	2	0.650899640438531	High
ECC10_STOMACH	0.573192963	ECC10	Stomach	0.750507924234389	2	0.650899640438531	High
ECC12_STOMACH	0.543339231	ECC12	Stomach	0.690224461346167	2	0.650899640438531	High
ECGI10_OESOPHAGUS	0.117569933	ECGI10	Oesophagus	1.2252870219294	1	0.399361136386076	Low
EFE184_ENDOMETRIUM	0.260649945	EFE184	Endometrium	1.30125274986634	1	0.399361136386076	Low
EFM19_BREAST	0.501065363	EFM19	Breast	0.871783003447203	1	0.399361136386076	Low
EFM192A_BREAST	0.57211889	EFM192A	Breast	0.914565248209619	2	0.650899640438531	High
EFO21_OVARY	0.452072614	EFO21	Ovary	1.28590260616727	1	0.399361136386076	Low
EFO27_OVARY	0.367111829	EFO27	Ovary	1.16141530750602	1	0.399361136386076	Low
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.439595626	EHEB	Haematpoetic&Lymphoid	1.03552604223589	1	0.399361136386076	Low
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.637342001	EJM	Haematpoetic&Lymphoid	0.932536423124067	2	0.650899640438531	High
EKVX_LUNG	0.524440789	EKVX	Lung	1.17958960689268	1	0.399361136386076	Low
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.712627182	EM2	Haematpoetic&Lymphoid	0.850677361357373	2	0.650899640438531	High
EN_ENDOMETRIUM	0.612731747	EN	Endometrium	0.775129600709096	2	0.650899640438531	High
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.558413665	EOL1	Haematpoetic&Lymphoid	0.921338668671191	2	0.650899640438531	High
EPLC272H_LUNG	0.460299116	EPLC272H	Lung	1.36437685617454	1	0.399361136386076	Low
ES2_OVARY	0.645512384	ES2	Ovary	1.18313152036653	2	0.650899640438531	High
ESS1_ENDOMETRIUM	0.544608013	ESS1	Endometrium	1.3869530945954	2	0.650899640438531	High
EW8_BONE	0.73198906	EW8	Bone	0.938320741990644	2	0.650899640438531	High
EWS502_BONE	0.775968411	EWS502	Bone	0.885518842882552	2	0.650899640438531	High
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.675845984	F36P	Haematpoetic&Lymphoid	0.981696962352856	2	0.650899640438531	High
FADU_UPPER_AERODIGESTIVE_TRACT	0.498955368	FADU	UpperAeroDigestiveTract	1.07423172738356	1	0.399361136386076	Low
FTC133_THYROID	0.470591879	FTC133	Thyroid	1.23233373055615	1	0.399361136386076	Low
FTC238_THYROID	0.570143891	FTC238	Thyroid	1.0961696145101	2	0.650899640438531	High
FU97_STOMACH	0.573621119	FU97	Stomach	0.832661151226196	2	0.650899640438531	High
FUOV1_OVARY	0.526018963	FUOV1	Ovary	1.09220913088712	2	0.650899640438531	High
G292CLONEA141B1_BONE	0.377328819	G292CLONEA141B1	Bone	1.20306099719548	1	0.399361136386076	Low
G361_SKIN	0.547904217	G361	Skin	0.957592247725013	2	0.650899640438531	High
G401_SOFT_TISSUE	0.717488745	G401	SoftTissue	0.803298093401256	2	0.650899640438531	High
G402_SOFT_TISSUE	0.65758064	G402	SoftTissue	0.943650205445286	2	0.650899640438531	High
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.758573771	GA10	Haematpoetic&Lymphoid	0.595561967627372	2	0.650899640438531	High
GAMG_CENTRAL_NERVOUS_SYSTEM	0.554967232	GAMG	CNS	1.3757534608673	2	0.650899640438531	High
GB1_CENTRAL_NERVOUS_SYSTEM	0.486247457	GB1	CNS	1.14468816206753	1	0.399361136386076	Low
GCIY_STOMACH	0.610578383	GCIY	Stomach	0.9578840024219	2	0.650899640438531	High
GCT_SOFT_TISSUE	0.608492628	GCT	SoftTissue	1.3695095978877	2	0.650899640438531	High
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.511053906	GDM1	Haematpoetic&Lymphoid	0.932127121098708	1	0.399361136386076	Low
GI1_CENTRAL_NERVOUS_SYSTEM	0.602487682	GI1	CNS	1.02693461043595	2	0.650899640438531	High
GMS10_CENTRAL_NERVOUS_SYSTEM	0.33107549	GMS10	CNS	1.31144026148579	1	0.399361136386076	Low
GOS3_CENTRAL_NERVOUS_SYSTEM	0.376841149	GOS3	CNS	1.11042973914234	1	0.399361136386076	Low
GP2D_LARGE_INTESTINE	0.622422348	GP2D	LargeIntestine	0.712380204416048	2	0.650899640438531	High
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.791006036	GRANTA519	Haematpoetic&Lymphoid	0.94732152316488	2	0.650899640438531	High
GSS_STOMACH	0.543390687	GSS	Stomach	0.820900355890594	2	0.650899640438531	High
GSU_STOMACH	0.589899348	GSU	Stomach	0.896947667113506	2	0.650899640438531	High
H4_CENTRAL_NERVOUS_SYSTEM	0.415090471	H4	CNS	1.30589374926183	1	0.399361136386076	Low
HARA_LUNG	0.592786281	HARA	Lung	0.979241471595115	2	0.650899640438531	High
HCC1143_BREAST	0.735806735	HCC1143	Breast	1.24016954648615	2	0.650899640438531	High
HCC1171_LUNG	0.459156929	HCC1171	Lung	1.15444369938456	1	0.399361136386076	Low
HCC1187_BREAST	0.641673538	HCC1187	Breast	1.08073911199591	2	0.650899640438531	High
HCC1195_LUNG	0.494215703	HCC1195	Lung	1.07024079198415	1	0.399361136386076	Low
HCC1359_LUNG	0.502575239	HCC1359	Lung	1.33679467408954	1	0.399361136386076	Low
HCC1395_BREAST	0.641699112	HCC1395	Breast	1.17767842897909	2	0.650899640438531	High
HCC1419_BREAST	0.560932694	HCC1419	Breast	0.693620711496291	2	0.650899640438531	High
HCC1428_BREAST	0.485176631	HCC1428	Breast	0.808339114234318	1	0.399361136386076	Low
HCC1438_LUNG	0.423442527	HCC1438	Lung	1.11818344626227	1	0.399361136386076	Low
HCC15_LUNG	0.720850992	HCC15	Lung	1.10782068436613	2	0.650899640438531	High
HCC1500_BREAST	0.489418424	HCC1500	Breast	0.856377498198546	1	0.399361136386076	Low
HCC1569_BREAST	0.489754325	HCC1569	Breast	1.00185509967706	1	0.399361136386076	Low
HCC1588_LUNG	0.380856366	HCC1588	Lung	1.04252372534194	1	0.399361136386076	Low
HCC1599_BREAST	0.627757799	HCC1599	Breast	0.82165767136721	2	0.650899640438531	High
HCC1806_BREAST	0.536268631	HCC1806	Breast	1.18151089276984	2	0.650899640438531	High
HCC1833_LUNG	0.704935019	HCC1833	Lung	0.880541607640862	2	0.650899640438531	High
HCC1937_BREAST	0.44868541	HCC1937	Breast	1.11688494015135	1	0.399361136386076	Low
HCC1954_BREAST	0.381202754	HCC1954	Breast	1.12602741592094	1	0.399361136386076	Low
HCC202_BREAST	0.636857425	HCC202	Breast	0.828263027644292	2	0.650899640438531	High
HCC2108_LUNG	0.488105742	HCC2108	Lung	1.35438440642564	1	0.399361136386076	Low
HCC2157_BREAST	0.485432525	HCC2157	Breast	0.741304357467939	1	0.399361136386076	Low
HCC2218_BREAST	0.575252345	HCC2218	Breast	0.827538985845542	2	0.650899640438531	High
HCC2279_LUNG	0.322500622	HCC2279	Lung	1.2828015845395	1	0.399361136386076	Low
HCC2429_LUNG	0.709639902	HCC2429	Lung	0.756291241200995	2	0.650899640438531	High
HCC2450_LUNG	0.69459232	HCC2450	Lung	1.03072910407434	2	0.650899640438531	High
HCC2814_LUNG	0.393615051	HCC2814	Lung	1.07890356485412	1	0.399361136386076	Low
HCC2935_LUNG	0.530490535	HCC2935	Lung	1.06375176747225	2	0.650899640438531	High
HCC33_LUNG	0.604480137	HCC33	Lung	0.57636544680337	2	0.650899640438531	High
HCC364_LUNG	0.566003132	HCC364	Lung	1.15553234680201	2	0.650899640438531	High
HCC366_LUNG	0.527686691	HCC366	Lung	1.33440977716464	2	0.650899640438531	High
HCC38_BREAST	0.493732452	HCC38	Breast	1.1172448335543	1	0.399361136386076	Low
HCC4006_LUNG	0.569899783	HCC4006	Lung	1.19360565113844	2	0.650899640438531	High
HCC44_LUNG	0.585588245	HCC44	Lung	1.34079548597637	2	0.650899640438531	High
HCC461_LUNG	0.630417816	HCC461	Lung	1.21936178839407	2	0.650899640438531	High
HCC515_LUNG	0.497163498	HCC515	Lung	1.11398439693634	1	0.399361136386076	Low
HCC56_LARGE_INTESTINE	0.409279132	HCC56	LargeIntestine	0.968165499822389	1	0.399361136386076	Low
HCC70_BREAST	0.510308382	HCC70	Breast	1.0580031348698	1	0.399361136386076	Low
HCC78_LUNG	0.392678741	HCC78	Lung	1.20298406331978	1	0.399361136386076	Low
HCC827_LUNG	0.582423609	HCC827	Lung	1.18095326367112	2	0.650899640438531	High
HCC827GR5_LUNG	0.600043794	HCC827GR5	Lung	1.10478766176907	2	0.650899640438531	High
HCC95_LUNG	0.583217661	HCC95	Lung	1.17269475993245	2	0.650899640438531	High
HCT116_LARGE_INTESTINE	0.587058058	HCT116	LargeIntestine	0.96087046477547	2	0.650899640438531	High
HCT15_LARGE_INTESTINE	0.570546031	HCT15	LargeIntestine	0.909878479122177	2	0.650899640438531	High
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.718508063	HDLM2	Haematpoetic&Lymphoid	0.919362156565666	2	0.650899640438531	High
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.374023433	HDMYZ	Haematpoetic&Lymphoid	1.18786155058851	1	0.399361136386076	Low
HDQP1_BREAST	0.211090877	HDQP1	Breast	1.14019320945003	1	0.399361136386076	Low
HEC108_ENDOMETRIUM	0.564798357	HEC108	Endometrium	0.920884086980632	2	0.650899640438531	High
HEC151_ENDOMETRIUM	0.696335961	HEC151	Endometrium	0.96672926463311	2	0.650899640438531	High
HEC1A_ENDOMETRIUM	0.632042082	HEC1A	Endometrium	0.961419798998732	2	0.650899640438531	High
HEC1B_ENDOMETRIUM	0.649683321	HEC1B	Endometrium	0.966174393998621	2	0.650899640438531	High
HEC251_ENDOMETRIUM	0.388371429	HEC251	Endometrium	1.00842578432106	1	0.399361136386076	Low
HEC265_ENDOMETRIUM	0.579487474	HEC265	Endometrium	1.07721995159943	2	0.650899640438531	High
HEC50B_ENDOMETRIUM	0.587891882	HEC50B	Endometrium	1.16150743035347	2	0.650899640438531	High
HEC59_ENDOMETRIUM	0.620707103	HEC59	Endometrium	0.905434231709602	2	0.650899640438531	High
HEC6_ENDOMETRIUM	0.55442521	HEC6	Endometrium	0.90575250441824	2	0.650899640438531	High
HEKTE_KIDNEY	0.523828941	HEKTE	Kidney	1.24391374116619	1	0.399361136386076	Low
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.649027402	HEL	Haematpoetic&Lymphoid	0.839602543448065	2	0.650899640438531	High
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.737537684	HEL9217	Haematpoetic&Lymphoid	0.880399584438445	2	0.650899640438531	High
HELA_CERVIX	0.609987351	HELA	Cervix	1.12321067527676	2	0.650899640438531	High
HEP3B217_LIVER	0.452506192	HEP3B217	Liver	0.977106111585265	1	0.399361136386076	Low
HEPG2_LIVER	0.626931088	HEPG2	Liver	0.950200513363415	2	0.650899640438531	High
HEYA8_OVARY	0.701877643	HEYA8	Ovary	1.23484271233831	2	0.650899640438531	High
HGC27_STOMACH	0.65276362	HGC27	Stomach	0.778974023395926	2	0.650899640438531	High
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.643164551	HH	Haematpoetic&Lymphoid	0.819409481093101	2	0.650899640438531	High
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.629223041	HL60	Haematpoetic&Lymphoid	1.03806813580146	2	0.650899640438531	High
HLF_LIVER	0.56865173	HLF	Liver	1.15150363071716	2	0.650899640438531	High
HLFA_FIBROBLAST	0.311792085	HLFA	Fibroblast	1.32891899673249	1	0.399361136386076	Low
HMC18_BREAST	0.597294236	HMC18	Breast	0.993657188823483	2	0.650899640438531	High
