Cancer	DrugTarget	Label	Ratio	EXTENDClass	PValFisher	PVal	Significance	log10Pval	Size
PCPG	TMPRSS2	OffLabel	0.699300699	Low	1	1	NS	0	1
PRAD	RAF1	OnLabel	0.985221675	High	1	1	NS	0	1
PRAD	AKT3	OffLabel	0.985221675	High	0.571086902	0.57	NS	0.244125144	1
PRAD	RAF1	OnLabel	1.030927835	Low	1	1	NS	0	2
PRAD	TMPRSS2	OnLabel	42.26804124	Low	0.003479137	0	Sig	5	4
PRAD	TMPRSS2	OnLabel	55.66502463	High	0.003479137	0	Sig	5	4
READ	ALK	OnLabel	2.631578947	Low	0.422222222	0.42	NS	0.37675071	2
READ	BRAF	OffLabel	2.631578947	Low	0.422222222	0.42	NS	0.37675071	2
SARC	ALK	OnLabel	0.704225352	Low	1	1	NS	0	1
SARC	BRD4	OffLabel	0.704225352	Low	1	1	NS	0	1
SARC	NTRK1	OffLabel	0.704225352	Low	0.5895182	0.59	NS	0.229147988	1
SARC	PDGFRA	OffLabel	0.862068966	High	0.449612403	0.45	NS	0.346787486	1
SARC	ESR1	OffLabel	1.408450704	Low	0.503152053	0.5	NS	0.301029996	2
SARC	NTRK1	OffLabel	1.724137931	High	0.5895182	0.59	NS	0.229147988	2
SARC	BRAF	OffLabel	1.724137931	High	0.201188429	0.2	NS	0.698970004	2
SKCM	AKT3	OffLabel	0.836820084	Low	1	1	NS	0	1
SKCM	AKT3	OffLabel	0.858369099	High	1	1	NS	0	1
SKCM	NOTCH2	OffLabel	0.858369099	High	0.243153766	0.24	NS	0.619788758	1
SKCM	ALK	OnLabel	1.255230126	Low	0.623524769	0.62	NS	0.207608311	2
SKCM	BRAF	OnLabel	1.255230126	Low	0.49912402	0.5	NS	0.301029996	2
SKCM	RAF1	OffLabel	2.092050209	Low	0.215986663	0.22	NS	0.657577319	2
SKCM	BRAF	OnLabel	2.145922747	High	0.49912402	0.5	NS	0.301029996	2
STAD	FGFR2	OffLabel	0.537634409	Low	0.463840399	0.46	NS	0.337242168	1
STAD	NRG1	OffLabel	0.537634409	Low	0.463840399	0.46	NS	0.337242168	1
STAD	RAF1	OffLabel	0.537634409	Low	0.463840399	0.46	NS	0.337242168	1
STAD	BRD4	OffLabel	1.075268817	Low	0.598847805	0.6	NS	0.22184875	2
STAD	EGFR	OffLabel	1.075268817	Low	0.598847805	0.6	NS	0.22184875	2
THCA	FGFR2	OffLabel	0.555555556	Low	1	1	NS	0	1
THCA	MET	OffLabel	0.555555556	Low	1	1	NS	0	1
THCA	ALK	OnLabel	0.675675676	High	1	1	NS	0	1
THCA	NTRK1	OffLabel	0.675675676	High	0.676922723	0.68	NS	0.167491087	1
THCA	NTRK3	OffLabel	0.675675676	High	0.447686039	0.45	NS	0.346787486	1
THCA	EML4--ALK	OffLabel	0.675675676	High	0.291338583	0.29	NS	0.537602002	1
THCA	ALK	OnLabel	0.833333333	Low	1	1	NS	0	1
THCA	NTRK1	OffLabel	1.388888889	Low	0.676922723	0.68	NS	0.167491087	2
THCA	NTRK3	OffLabel	1.944444444	Low	0.447686039	0.45	NS	0.346787486	2
THCA	RAF1	OffLabel	2.027027027	High	1	1	NS	0	2
THCA	RET	OffLabel	2.027027027	High	0.001486588	0	Sig	5	2
THCA	RAF1	OffLabel	2.5	Low	1	1	NS	0	2
THCA	BRAF	OffLabel	2.702702703	High	1	1	NS	0	2
THCA	BRAF	OffLabel	3.055555556	Low	1	1	NS	0	2
THCA	RET	OffLabel	9.722222222	Low	0.001486588	0	Sig	5	3
UCEC	ALK	OnLabel	1.020408163	High	1	1	NS	0	2
UCEC	ERBB4	OffLabel	1.020408163	High	1	1	NS	0	2
UCEC	ESR1	OffLabel	1.020408163	High	1	1	NS	0	2
UCEC	FGFR2	OffLabel	1.020408163	High	1	1	NS	0	2
UCEC	ALK	OnLabel	1.315789474	Low	1	1	NS	0	2
UCEC	ESR1	OffLabel	1.315789474	Low	1	1	NS	0	2
UCEC	NOTCH2	OffLabel	1.315789474	Low	0.436781609	0.44	NS	0.356547324	2
UCS	BRD4	OffLabel	2.222222222	Low	1	1	NS	0	2
UCS	NRG1	OffLabel	2.222222222	Low	1	1	NS	0	2
